name,PV_walls_south_E_kWh,PV_walls_north_E_kWh,PV_roofs_top_E_kWh,PV_walls_east_E_kWh,PV_walls_west_E_kWh,E_PV_gen_kWh,radiation_kWh,PV_walls_south_m2,PV_walls_north_m2,PV_roofs_top_m2,PV_walls_east_m2,PV_walls_west_m2,area_PV_m2
B1000,0.00,0.00,57470.96,0.00,0.00,57470.96,855343.28,0.00,0.00,804.46,0.00,0.00,804.46
B1001,0.00,0.00,30438.02,0.00,0.00,30438.02,450385.06,0.00,0.00,416.83,0.00,0.00,416.83
B1002,0.00,0.00,28473.98,0.00,0.00,28473.98,421027.36,0.00,0.00,388.50,0.00,0.00,388.50
B1003,0.00,0.00,26990.98,0.00,0.00,26990.98,399817.13,0.00,0.00,372.87,0.00,0.00,372.87
B1004,0.00,0.00,28605.56,0.00,0.00,28605.56,424368.71,0.00,0.00,388.52,0.00,0.00,388.52
B1005,0.00,0.00,46932.81,0.00,0.00,46932.81,695705.62,0.00,0.00,633.48,0.00,0.00,633.48
B1006,0.00,0.00,42620.25,0.00,0.00,42620.25,632807.08,0.00,0.00,587.16,0.00,0.00,587.16
B1007,0.00,0.00,39075.62,0.00,0.00,39075.62,578125.49,0.00,0.00,532.35,0.00,0.00,532.35
B1008,0.00,0.00,47915.86,0.00,0.00,47915.86,710329.80,0.00,0.00,646.79,0.00,0.00,646.79
B1009,0.00,0.00,34304.10,0.00,0.00,34304.10,506596.33,0.00,0.00,500.51,0.00,0.00,500.51
B1010,0.00,0.00,48593.80,0.00,0.00,48593.80,716227.19,0.00,0.00,692.24,0.00,0.00,692.24
B1011,0.00,0.00,20244.55,0.00,0.00,20244.55,299149.72,0.00,0.00,278.05,0.00,0.00,278.05
B1012,0.00,0.00,101877.71,0.00,0.00,101877.71,1508791.78,0.00,0.00,1465.53,0.00,0.00,1465.53
B1013,0.00,0.00,19220.19,0.00,0.00,19220.19,285842.16,0.00,0.00,267.73,0.00,0.00,267.73
B1014,5038.59,0.00,107279.77,0.00,0.00,112318.46,1813231.85,278.39,0.00,1448.20,0.00,0.00,1726.59
