name,SC_FP_walls_south_Q_kWh,SC_FP_walls_north_Q_kWh,SC_FP_roofs_top_Q_kWh,SC_FP_walls_east_Q_kWh,SC_FP_walls_west_Q_kWh,radiation_kWh,Q_SC_gen_kWh,Eaux_SC_kWh,Q_SC_l_kWh,SC_FP_walls_south_m2,SC_FP_walls_north_m2,SC_FP_roofs_top_m2,SC_FP_walls_east_m2,SC_FP_walls_west_m2,area_SC_m2
B1000,0.00,0.00,148714.93,0.00,0.00,855343.28,148714.93,218.12,16832.38,0.00,0.00,804.46,0.00,0.00,804.46
B1001,0.00,0.00,79430.37,0.00,0.00,450385.06,79430.37,204.08,9219.52,0.00,0.00,416.83,0.00,0.00,416.83
B1002,0.00,0.00,74054.33,0.00,0.00,421027.36,74054.33,203.98,8590.16,0.00,0.00,388.50,0.00,0.00,388.50
B1003,0.00,0.00,70559.44,0.00,0.00,399817.13,70559.44,201.03,8098.72,0.00,0.00,372.87,0.00,0.00,372.87
B1004,0.00,0.00,74398.49,0.00,0.00,424368.71,74398.49,204.83,8626.99,0.00,0.00,388.52,0.00,0.00,388.52
B1005,0.00,0.00,121461.56,0.00,0.00,695705.62,121461.56,218.61,14163.04,0.00,0.00,633.48,0.00,0.00,633.48
B1006,0.00,0.00,110947.55,0.00,0.00,632807.08,110947.55,214.74,12853.35,0.00,0.00,587.16,0.00,0.00,587.16
B1007,0.00,0.00,101538.96,0.00,0.00,578125.49,101538.96,217.36,11853.29,0.00,0.00,532.35,0.00,0.00,532.35
B1008,0.00,0.00,123949.46,0.00,0.00,710329.80,123949.46,218.46,14470.60,0.00,0.00,646.79,0.00,0.00,646.79
B1009,0.00,0.00,88351.49,0.00,0.00,506596.33,88351.49,188.87,10158.98,0.00,0.00,500.51,0.00,0.00,500.51
B1010,0.00,0.00,128517.72,0.00,0.00,716227.19,128517.72,209.69,14776.63,0.00,0.00,692.24,0.00,0.00,692.24
B1011,0.00,0.00,52691.57,0.00,0.00,299149.72,52691.57,187.04,5992.31,0.00,0.00,278.05,0.00,0.00,278.05
B1012,0.00,0.00,267091.68,0.00,0.00,1508791.78,267091.68,252.77,30798.07,0.00,0.00,1465.53,0.00,0.00,1465.53
B1013,0.00,0.00,50601.90,0.00,0.00,285842.16,50601.90,185.53,5703.08,0.00,0.00,267.73,0.00,0.00,267.73
B1014,0.00,0.00,277063.67,0.00,0.00,1813231.85,277063.67,232.80,32536.44,278.39,0.00,1448.20,0.00,0.00,1726.59
