name,length_m,pipe_DN,type_mat,D_int_m
PIPE0,18.825614147302613,32,T1,0.0372
PIPE1,23.515412795623956,125,T1,0.1325
PIPE2,35.797849462192424,125,T1,0.1325
PIPE3,19.47471502358038,50,T1,0.0545
PIPE4,20.088364334531345,40,T1,0.0431
PIPE5,16.553878523197767,40,T1,0.0431
PIPE6,25.867514750289118,65,T1,0.0703
PIPE7,50.15247281002849,80,T1,0.0825
PIPE8,7.9470017444867045,100,T1,0.1071
PIPE9,17.492714354307317,32,T1,0.0372
PIPE10,22.864362354011707,100,T1,0.1071
PIPE11,14.04293739250174,150,T1,0.1603
PIPE12,17.4189051152239,40,T1,0.0431
PIPE13,29.993659663241548,125,T1,0.1325
PIPE14,3.15562463159167,65,T1,0.0703
PIPE15,23.9869626208965,25,T1,0.0285
PIPE16,27.638623165651563,65,T1,0.0703
PIPE17,37.449541396121845,100,T1,0.1071
PIPE18,54.48672818871845,65,T1,0.0703
PIPE19,13.079999720520414,32,T1,0.0372
PIPE20,15.631980917990168,65,T1,0.0703
PIPE21,24.680587512327413,80,T1,0.0825
PIPE22,50.32129849572092,65,T1,0.0703
PIPE23,17.211618237232088,50,T1,0.0545
PIPE24,34.54090267472317,150,T1,0.1603
PIPE25,18.635825720994685,50,T1,0.0545
PIPE26,13.494143192039047,65,T1,0.0703
PIPE27,19.068467425344988,150,T1,0.1603
PIPE28,24.812089311447487,40,T1,0.0431
PIPE29,26.283090410771013,40,T1,0.0431
PIPE30,13.880336060119797,32,T1,0.0372
PIPE31,38.104304937784775,100,T1,0.1071
PIPE32,14.611869572761758,32,T1,0.0372
PIPE33,19.989502078377654,125,T1,0.1325
PIPE34,28.48218531120824,80,T1,0.0825
PIPE35,43.660493565185305,150,T1,0.1603
PIPE36,23.228505877165603,125,T1,0.1325
PIPE37,1.4142135623730951,150,T1,0.1603
