name,type,building
NODE0,NONE,NONE
NODE1,CONSUMER,B1005
NODE2,CONSUMER,B1006
NODE3,NONE,NONE
NODE4,NONE,NONE
NODE5,NONE,NONE
NODE6,NONE,NONE
NODE7,NONE,NONE
NODE8,NONE,NONE
NODE9,CONSUMER,B1001
NODE10,CONSUMER,B1011
NODE11,NONE,NONE
NODE12,NONE,NONE
NODE13,CONSUMER,B1014
NODE14,NONE,NONE
NODE15,CONSUMER,B1008
NODE16,NONE,NONE
NODE17,CONSUMER,B1000
NODE18,NONE,NONE
NODE19,NONE,NONE
NODE20,NONE,NONE
NODE21,CONSUMER,B1007
NODE22,NONE,NONE
NODE23,NONE,NONE
NODE24,NONE,NONE
NODE25,CONSUMER,B1003
NODE26,CONSUMER,B1004
NODE27,CONSUMER,B1012
NODE28,NONE,NONE
NODE29,NONE,NONE
NODE30,NONE,NONE
NODE31,CONSUMER,B1013
NODE32,NONE,NONE
NODE33,NONE,NONE
NODE34,CONSUMER,B1010
NODE35,NONE,NONE
NODE36,NONE,NONE
NODE37,CONSUMER,B1002
NODE38,PLANT,NONE
